t,skew,phase,vpp,filt,avg,amp,rms
1759793142.6736495,-0.6201,337.678,0.629167,0.6487,0.485521,0.284505,0.06962739
1759793142.849461,9.3955,338.239,0.629167,0.63659,0.484323,0.278021,0.06939822
1759793143.0403955,-0.5951,338.578,0.5875,0.63659,0.484323,0.271667,0.0692148
1759793143.2327476,-0.5900000000000001,338.759,0.586458,0.63945,0.482188,0.271536,0.06946654
1759793143.4098265,9.4263,339.042,0.580208,0.63477,0.490234,0.258125,0.06975735
1759793143.5950427,9.4263,339.348,0.580208,0.63477,0.490234,0.258125,0.06952918
1759793143.7884805,-0.5601,339.837,0.582292,0.65495,0.490495,0.271276,0.06989159
1759793143.9672117,9.4505,340.219,0.58125,0.63294,0.500313,0.260182,0.07015258
1759793145.0958579,9.1655,329.958,0.582292,0.63008,0.510052,0.318828,0.0704223
1759793146.2741473,9.067499999999999,326.431,0.580208,0.63789,0.500443,0.299974,0.06993969
1759793146.4453328,-0.9251,326.697,0.605208,0.63724,0.491042,0.258307,0.069675
1759793146.6149263,9.0855,327.078,0.596875,0.64154,0.500807,0.261224,0.06998515
1759793146.789797,9.0855,327.078,0.596875,0.64154,0.500807,0.297474,0.06972506
1759793146.9815862,-0.9100999999999999,327.237,0.648958,0.66263,0.497526,0.278828,0.07002745
1759793147.1560402,9.105500000000001,327.798,0.59375,0.64414,0.507109,0.271745,0.07034777
1759793147.2411318,9.1206,328.314,0.978125,0.79883,0.507109,0.271745,0.07034777
1759793147.4014258,-0.875,328.498,0.6625,0.66784,0.495495,0.255417,0.06999412
1759793147.4825642,-0.875,328.498,0.6625,0.66784,0.495495,0.255417,0.06999412
1759793147.6185982,9.1355,328.878,0.594792,0.64154,0.504349,0.265495,0.07022083
1759793147.8093503,9.1355,328.878,0.625,0.65299,0.492474,0.272161,0.06990499
1759793147.9909544,-0.8551,329.216,0.632292,0.66081,0.500859,0.258229,0.07018591
1759793148.16446,9.1555,329.598,0.632292,0.66081,0.48987,0.292318,0.06981118
